year,month,temp,total-error-variance,high-frequency-error-variance,low-frequency-error-variance,bias-error-variance,diagnostic variable,diagnostic variable,diagnostic variable
1850,1,-0.708065,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000
1850,2,-0.492407,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000
1850,3,-0.615236,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000
1850,4,-0.551804,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000
1850,5,-0.539058,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000
1850,6,-0.442982,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000
1850,7,-0.408421,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000
1850,8,-0.420062,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000
1850,9,-0.489834,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000
1850,10,-0.390460,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000
1850,11,-0.435574,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000
1850,12,-0.395605,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000
1851,1,-0.451626,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000
1851,2,-0.429806,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000
1851,3,-0.620977,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000
1851,4,-0.516104,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000
1851,5,-0.431426,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000
1851,6,-0.483793,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000
1851,7,-0.360584,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000
1851,8,-0.317158,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000
1851,9,-0.285877,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000
1851,10,-0.306589,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000
1851,11,-0.327943,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000
1851,12,-0.359472,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000
1852,1,-0.479301,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000
1852,2,-0.436095,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000
1852,3,-0.626085,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000
1852,4,-0.709927,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000
1852,5,-0.339120,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000
1852,6,-0.401303,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000
1852,7,-0.354009,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000
1852,8,-0.240994,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000
